ID,Question Text,Question Answer,Reference Document,Paragraph(s) Number,Keywords
Q1190,Which disease-specific surveillance indicators exist and can be used to monitor the quality of the surveillance system?,Disease-specific surveillance indicators such as AFP and measles exist and can be used to monitor the quality of the surveillance system.,TG Booklet 4,137,"Disease-specific, Surveillance Indicators, AFP, Measles, Quality, Surveillance System"
Q1224,How can the timeliness of reporting be monitored and assessed at the district level?,"The timeliness of reporting can be monitored and assessed by recording and reviewing the dates on which reports are received, measuring how many reporting units submitted reports against the number expected to report, and ensuring deadlines are set for each level to enable effective monitoring.",TG Booklet 4,221-226,"Timeliness, Reporting, Monitoring, Assessment, District Level, Reports Received, Reporting Units, Deadlines, Effective Monitoring"
Q1162,How do the responsibilities of public and partner-supported health facilities or clinics differ from those at the central/national level in crisis situations?,"Health facilities or clinics focus on detecting, collecting, and reporting priority diseases, supporting the verification and investigation of outbreaks, and implementing response measures, while the central/national level focuses on overall coordination and support.",TG Booklet 5,"127-128, 143-147","Responsibilities, Public Health Facilities, Clinics, Central/national Level, Crisis Situations, Disease Detection, Reporting, Verification, Investigation, Outbreaks, Response Measures, Coordination, Support"
Q414,"Which ministry might be crucial for assistance when enforcing control measures by law, and why is their involvement important?",The ministry responsible for security might be crucial for assistance. Involvement is important for effective enforcement of control measures.,TG Booklet 3,379,"Ministry For Security, Law Enforcement, Control Measures, Involvement, Effective Enforcement"
Q468,Compare the purposes and criteria for conducting a register review with those of the District log of suspected outbreaks and alerts.,"The register review (Annex 4D) is conducted specifically to collect information on cases admitted to health facilities, focusing on determining the cause of outbreaks or increases in cases. In contrast, the District log (Annex 4A) records suspected outbreaks, alerts, or unexplained events, including initial cases, deaths, and response activities. While the register review targets inpatient facilities, the log captures broader surveillance data from various sources. Both serve different but complementary roles in outbreak investigation.",TG Booklet 3,"419, 411","Register Review, District Log, Purposes, Criteria, Cause Determination, Suspected Outbreaks, Inpatient Facilities, Surveillance Data"
Q690,Why is it important to estimate carrier numbers for viral hepatitis B and C?,To assess the global burden and plan effective prevention and control measures.,TG Booklet 6,125,To Assess The Global Burden And Plan Effective Prevention And Control Measures.
Q783,"Where do large outbreaks of Bacterial Meningitis occur, and how do they differ from smaller outbreaks outside the meningitis belt?","Large outbreaks of Bacterial Meningitis occur in the African meningitis belt during the dry season, with smaller outbreaks occurring year-round outside the belt. The text does not specify the geographical locations where smaller outbreaks outside the belt occur.",TG Booklet 6,142,Outbreak Locations: Bacterial Meningitis
Q1149,What steps are involved in implementing IDSR in humanitarian emergencies?,"Steps include rapid assessment of the situation, gap analysis, prioritization based on the results of gap analysis and list of priority events, development of a plan of action at national, intermediate, and local levels, and establishing a coordination mechanism.",TG Booklet 5,115-124,"Implementing IDSR, Humanitarian Emergencies, Rapid Assessment, Gap Analysis, Prioritization, Plan Of Action, Coordination Mechanism"
Q1107,Why is it important to have and maintain a logbook of rumors for reporting events?,"It is important to have and maintain a logbook of rumors to report events and have a feedback loop to confirm or dispel rumors, ensuring accurate and reliable surveillance data.",TG Booklet 1,331,"Logbook, Rumors, Reporting Events, Feedback Loop, Surveillance Data"
Q1137,What are the criteria for prioritizing health problems during the emergency phase?,"Prioritized health problems during the emergency phase are based on the increased vulnerability of populations to morbidity, mortality, and disability from endemic and epidemic-prone diseases, requiring a tailored IDSR focusing on diseases, conditions, or events specific to the given emergency context.",TG Booklet 5,98-99,"Prioritizing Health Problems, Emergency Phase, Vulnerability, Morbidity, Mortality, Disability, Endemic Diseases, Epidemic-prone Diseases, Tailored IDSR"
Q863,"What diagnostic tests are recommended for laboratory confirmation of epilepsy, and what specimens are collected?","Diagnostic tests for laboratory confirmation include blood glucose (random capillary and venous blood sugar) and electrolytes to exclude conditions like diabetes and kidney pathology. Specimens collected are blood and cerebro-spinal fluid. Appropriate medical investigations are conducted to exclude other conditions such as cerebral malaria, meningitis, toxoplasmosis, and cerebral calcifications following tuberculosis.",TG Booklet 6,184,"Diagnostic Tests, Epilepsy Confirmation, Blood Glucose, Electrolytes, Diabetes, Kidney Pathology, Specimen Collection, Blood, Cerebro-spinal Fluid, Medical Investigations, Cerebral Malaria, Meningitis, Toxoplasmosis, Cerebral Calcifications, Tuberculosis"
Q654,What actions should be taken if a single suspected case is reported?,"Isolate the suspected case, implement infection prevention procedures, treat the patient, and conduct contact tracing.",TG Booklet 6,120,"Isolate The Suspected Case, Implement Infection Prevention Procedures, Treat The Patient, And Conduct Contact Tracing."
Q941,Is routine laboratory confirmation required for maternal death surveillance?,Routine laboratory confirmation for maternal death surveillance is not required.,TG Booklet 6,224,"Maternal Death Surveillance, Laboratory Confirmation, Requirement"
Q21,What is the role of community networks in Community Based Surveillance (CBS)?,"Community networks are made up of key informants that support the VHCs in early detection of alerts, for example sensitizing the men and women that often visit the grain milling or tea drinking places.",TG Booklet 1,442,"Community Networks, Key Informants, Early Detection Of Alerts, Sensitizing, Grain Milling, Tea Drinking Places."
Q893,"What are the surveillance goals for lymphatic filariasis, and how can they be implemented at the local and international levels?","Surveillance goals involve routine monthly reporting, sentinel population surveys, and active case-finding. International reporting is annual. These aim to monitor and reduce transmission, treating disability-related issues",TG Booklet 6,203204,"Surveillance Goals, Lymphatic Filariasis, Routine Reporting, Sentinel Surveys, Active Case-finding, International Reporting, Transmission Reduction, Disability-related Treatment"
Q992,"How should Monkeypox specimens be prepared, stored, and transported?","Biopsy specimens, scabs, and vesicular fluid should be aseptically collected, stored at -20 °C to -70 °C, and transported under specific conditions. Blood samples should be drawn into appropriate tubes.",TG Booklet 6,234,"Monkeypox Specimen Preparation, Storage, Transport, Biopsy Specimens, Scabs, Vesicular Fluid, Blood Samples, Aseptic Collection, Storage Temperature, Transportation Conditions"
Q115,How can collaboration and reporting of public health risks be fostered with key actors from various sectors?,"Collaboration and reporting can be fostered by including key actors such as the private sector, civil society, faith-based organizations, defence and security forces, prisons, IDP and refugees’ camps, technical and financial partners, and academic and research institutions. Ensure their inclusion to strengthen routine reporting and analysis.",TG Booklet 2,654,"Collaboration, Reporting, Public Health Risks, Key Actors, Private Sector, Civil Society, Faith-based Organizations"
Q483,What is the purpose of triple packaging of samples during an outbreak?,"The purpose of triple packaging of samples during an outbreak is to ensure the safe and secure transportation of laboratory specimens. Triple packaging helps prevent contamination, leakage, and exposure to the samples.",TG Booklet 3,467,"Triple Packaging Purpose, Samples, Outbreak, Safe Transportation, Contamination Prevention, Leakage Prevention, Sample Integrity"
Q65,What diseases and conditions require monthly or quarterly reporting?,"Diseases and conditions such as Acute/Chronic Viral Hepatitis, Diabetes mellitus, Diarrhoea with severe dehydration in children under 5 years, Malaria, Tuberculosis, and others require monthly or quarterly reporting.",TG Booklet 2,570,"Diseases And Conditions, Monthly, Quarterly Reporting, Acute/chronic Viral Hepatitis, Diabetes Mellitus, Diarrhoea With Severe Dehydration, Malaria, Tuberculosis, And Others"
Q610,"Is HMIS an abbreviation mentioned in the TG, and what does it stand for?",Health Management Information System,TG Booklet 6,106,Health Management Information System
Q1042,In what ways do the standard case definitions for pneumonic plague and poliomyelitis differ?,"The standard case definition for pneumonic plague involves criteria related to cough duration, sputum characteristics, and fever, while the case definition for poliomyelitis focuses on acute flaccid paralysis in individuals under 15 years old.",TG Booklet 6,"253, 259","Case Definition Differences, Pneumonic Plague, Poliomyelitis"
Q906,"What are the underlying causes for 3·5 million deaths globally, including 35% of the disease burden in children under 5 years?",Maternal and child under-nutrition,TG Booklet 6,220,"Global Deaths, Disease Burden, Children Under 5 Years, Maternal, Child Under-nutrition"
Q1088,Who contributes to the media monitoring aspect of event-based surveillance?,"Media monitoring personnel, including those monitoring newspapers, internet sites, media alert systems, blogs, social media, radios, and television, contribute to this aspect.",TG Booklet 1,92,"Media Monitoring, Newspapers, Internet Sites, Media Alert Systems, Blogs, Social Media, Radios, Television"
Q1242,Why is it important to monitor the quality of surveillance activities at the community level?,"Monitoring the quality of surveillance activities at the community level is important because community-driven data analysis and monitoring can provide valuable insights, improve the system's effectiveness, and ensure that the system works well for the community.",TG Booklet 4,253-261,"Importance, Quality Monitoring, Surveillance Activities, Community Level, Community-driven Data Analysis, System Effectiveness, System Improvement"
Q845,Who should be mobilized early during a cholera epidemic?,The community should be mobilized early during a cholera epidemic to enable rapid case detection and treatment.,TG Booklet 6,"157, 160",Early Mobilization During Cholera Epidemic
Q733,Contrast the incubation periods of Anthrax and bacterial meningitis.,"Anthrax has an incubation period of 1 to 7 days, whereas bacterial meningitis has an incubation period of 2 to 10 days.",TG Booklet 6,"135, 143",Incubation Periods: Anthrax Vs. Bacterial Meningitis
Q1150,What role do various actors play in enhancing IDSR to improve early warning and response during emergencies?,"Various actors, especially in constrained National and district IDSR systems, may need to reinforce their roles and responsibilities to enhance IDSR, ensuring effective early warning and response during emergencies.",TG Booklet 5,126,"Various Actors, Enhancing IDSR, Early Warning, Response, Emergencies, Roles, Responsibilities"
Q544,Does the TG contain case definitions for Neonatal and Non-neonatal tetanus?,"Yes, Page 129 of TG Booklet 6 Section 11",TG Booklet 6,47,"TG, Neonatal/non-neonatal Tetanus, Case Definitions, Page 129, Booklet 6, Section 11"
Q955,"What factors may lead to severe illness from measles, especially in children with vitamin A deficiency and malnutrition?","Measles may result in severe illness, especially in children with vitamin A deficiency and malnutrition, due to the virus itself and associated bacterial infections, particularly pneumonia.",TG Booklet 6,226,"Severe Illness, Measles, Vitamin A Deficiency, Malnutrition, Virus, Bacterial Infections, Pneumonia"
Q50,What are examples of potential risks that should be accounted for in the catchment area description update?,"Examples include sources of contaminated water, lack of urgent transportation for women in childbirth, inadequate safety precautions in mining or occupational sites, and public health risks in slums during heavy rains or poor latrine coverage.",TG Booklet 2,191,"Potential Risks, Catchment Area Description, Contaminated Water, Urgent Transportation, Occupational Hazards, Slums, Latrine Coverage"
Q1185,How does the outbreak response during a humanitarian crisis differ from standard outbreak response practices?,"Outbreak response during a humanitarian crisis may involve the formation of new multi-sectoral outbreak control teams, with roles and responsibilities designated for each team member, and strengthened support from Health, WASH, and other relevant cluster partners, especially when the capacities of the Ministry of Health are greatly compromised.",TG Booklet 5,262-263,"Outbreak Response, Humanitarian Crisis, Standard Practices, Multi-sectoral Outbreak Control Teams, Roles, Responsibilities, Health, WASH, Cluster Partners, Ministry Of Health"
Q788,"Where should specimens be collected during an epidemic to confirm Bacterial Meningitis cases, and why is it important to collect specimens from 5 to 10 cases?","Specimens should be collected from 5 to 10 cases during an epidemic once the alert or epidemic threshold is reached. The text does not specify the exact locations for specimen collection, and the importance of collecting specimens from multiple cases is not explained.",TG Booklet 6,"142, 150",Specimen Collection: Bacterial Meningitis Epidemic
Q1116,Who should be involved in enhancing IDSR to improve early warning and response?,"Central/National level authorities, district level authorities, and staff at public and partner-supported health facilities or clinics should be involved in enhancing IDSR.",TG Booklet 5,34-37,"IDSR Enhancement, Central/national Authorities, District Authorities, Health Facility Staff, Clinic Staff"
Q492,Where should information be collected during a register review?,"Information should be collected from inpatient facilities with more than 10 beds, large teaching hospitals with pediatric wards, and small facilities serving remote or high-risk populations. Depending on the priority disease or condition, information is checked in the pediatric and infectious disease wards' inpatient registers, ensuring that relevant details about suspected cases are available for investigation and response activities.",TG Booklet 3,"421, 430","Register Review Information Collection, Inpatient Facilities, Teaching Hospitals, Pediatric Wards, High-risk Populations, Investigation, Response Activities"
Q996,What is the impact of HIV/AIDS in Africa?,"Close to twenty-six million Africans, nearly one in ten adults between 15 and 49 years old, are living with HIV/AIDS. It is the leading cause of adult mortality in the African Region.",TG Booklet 6,239,"HIV/AIDS Impact, Africa, Population, Adults, Leading Cause, Adult Mortality"
Q1223,What are the important aspects of timelines of reporting in a communicable disease surveillance system?,"Important aspects of timeliness of reporting include timeliness of immediate notification (within 24 hours), timeliness of weekly reporting, and timeliness of monthly reporting.",TG Booklet 4,214-217,"Important Aspects, Timeliness, Reporting, Communicable Disease Surveillance System, Immediate Notification, Weekly Reporting, Monthly Reporting"
Q312,What is the purpose of an outbreak investigation?,"The purpose of an outbreak investigation is to verify the outbreak or public health event and risk, identify and treat additional cases, collect information and specimens for confirming the diagnosis, identify the source of infection or cause of the outbreak, describe the epidemiological situation, and select appropriate response activities.",TG Booklet 3,177-187,"Outbreak Investigation, Purpose, Verify, Treat Cases, Collect Information, Diagnose, Source Identification, Epidemiological Situation, Response Activities"
Q757,"When should specimens be collected for BU confirmation, and why is it essential to collect them before antibiotic treatment?",Specimens should be collected from suspected patients before any antibiotic is given to ensure accurate confirmation. Collecting specimens at the end of treatment is recommended in case of treatment ineffectiveness or when surgery is indicated.,TG Booklet 6,152,BU Specimen Collection: Timing And Rationale
Q368,Contrast the purposes of the line list register and the case-based surveillance reporting form during an outbreak investigation.,"The line list register serves to keep track of basic data for identified cases, aiding in spatial analysis, while the case-based surveillance reporting form captures more comprehensive information about each case, contributing to a detailed understanding of the outbreak and guiding specific interventions.",TG Booklet 3,"311, 319, 320","Line List Register Purpose Vs. Case-based Surveillance Reporting Form, Data Tracking, Comprehensive Case Information, Spatial Analysis, Targeted Interventions"
Q827,"How many countries reported cholera cases globally in 2016, and what percentage of cases were reported from Africa?","In 2016, 38 countries reported cholera cases globally, with 54% of cases reported from Africa.",TG Booklet 6,157,Countries Reporting Cholera Cases In 2016
Q804,What are the trends in serogroup shifts associated with recent cholera epidemics?,The text does not provide specific information on trends in serogroup shifts associated,TG Booklet 6,,Cholera Serogroup Shifts
Q879,"What is an influenza pandemic, and what historical pandemics are mentioned?","An influenza pandemic occurs when a new influenza A virus emerges with efficient and sustained human-to-human transmission in populations with limited immunity. Historical pandemics mentioned include those in 1918, 1957, 1968, and 2009. The 1918 pandemic, caused by the H1N1 virus, resulted in an estimated 40–50 million deaths. The document predicts that a pandemic of equivalent magnitude could kill 62 million people, with 96% of them in developing countries. Other instances of influenza caused by new subtypes include the A(H5N1) virus in 1997, the Influenza A (H1N1) pandemic in 2009, and human infections with A(H7N9) virus in 2013. Avian influenza viruses like A(H7N7) and A(H9N2), as well as sporadic human infections with swine influenza viruses, are also mentioned.",TG Booklet 6,189,"Influenza Pandemic Definition, Emergence, New Influenza A Virus, Efficient Transmission, Limited Immunity, Historical Pandemics, 1918, 1957, 1968, 2009, H1N1 Virus, Mortality Estimate, Developing Countries, A(H5N1) Virus, Influenza A (H1N1) Pandemic, Human Infections, A(H7N9) Virus, Avian Influenza Viruses, A(H7N7), A(H9N2), Swine Influenza Viruses"
Q292,What is the purpose of the District Log book of alerts and rumours mentioned in Section 4.0?,"The purpose of the District Log book of alerts and rumours, mentioned in Section 4.0, is to track the reporting of suspected outbreaks, events, and rumours at the district/national level. It facilitates information gathering for evaluating the timeliness and completeness of the outbreak investigation and response process.",TG Booklet 3,215,"District Log Book, Alerts, Rumors, Section 4.0, Tracking, Reporting, Outbreak Investigation, Response Process"
Q1188,When should indicators be used to measure the extent of achievement for a program or activity?,Indicators should be used throughout the program or activity to measure the extent of achievement and to determine whether the program/intervention is on its way to achieving its objectives and goals.,TG Booklet 4,137,"Indicators, Measurement, Achievement, Program, Activity, Objectives, Goals"
Q872,What is the reference for guidelines on investigating and controlling foodborne disease outbreaks?,The reference for guidelines on investigating and controlling foodborne disease outbreaks is WHO Foodborne disease outbreaks: Guidelines for investigation and control. It can be accessed at this link.,TG Booklet 6,186,"Foodborne Disease Outbreak Guidelines, WHO, Investigation, Control"
Q469,What information should the health facility registers ideally include for investigating suspected cases during a register review?,"The health facility registers should ideally include the patient’s name and location, signs and symptoms, date of onset of symptoms, outcome (e.g., date of death), and immunization status if appropriate to the disease. This information is crucial for investigating suspected cases and responding to outbreaks effectively. If the registers lack essential information, discussions with senior staff should focus on strengthening record-keeping practices to ensure the necessary data is collected.",TG Booklet 3,431-436,"Health Facility Registers, Investigating Suspected Cases, Patient Information, Signs, Symptoms, Onset Date, Outcome, Immunization Status"
Q1061,"What is the global incidence of tuberculosis, and which population groups are at the highest risk of dying from tuberculosis?","Tuberculosis has over 8 million new cases and 3 million deaths per year globally. The highest-risk groups include people with HIV/AIDS, malnutrition, and other immunocompromising conditions, the very young, and the very old.",TG Booklet 6,286,"Global Incidence, Tuberculosis, High-risk Populations"
Q607,"What does HCW stand for, and is it explained in the TG?",Healthcare Worker,TG Booklet 6,106,Healthcare Worker
Q305,What does Section 4.1.2 recommend regarding the tasks of health workers during an outbreak investigation?,"Section 4.1.2 recommends informing health workers about their responsibilities, specifying the functions they will support, and providing tentative timelines for the work. It emphasizes the importance of positive motivation, understanding the link between investigation results and response activities, and ensuring access to and knowledge of Personal Protection Equipment (PPE).",TG Booklet 3,251,"Health Workers Tasks, Outbreak Investigation, Responsibilities, Functions, Timelines, Motivation, PPE Knowledge"
Q157,What types of sites are considered reporting sites in the context of surveillance?,"Reporting sites include health facilities (public, private, quasi-governmental, faith-based), standalone laboratories, and Points of Entry (PoE).",TG Booklet 2,750,"Reporting Sites, Health Facilities, Laboratories, Points Of Entry (poe)"
Q201,"What is the attack rate, and how is it calculated?","The attack rate is the measure of the frequency of morbidity or speed of spread in an at-risk population. It is calculated by dividing the number of cases by the population at risk and expressing the result per 100,000 population.",TG Booklet 2,859 - 861,"Attack Rate, Frequency, Morbidity, Speed Of Spread, Population At Risk, Cases, 100,000 Population"
Q119,What diseases and events/alerts does the form capture and notify/report at the community level?,The form is used to capture and notify/report Malawi’s priority diseases (Indicator-based surveillance) and events/alerts (event-based surveillance) occurring at the community level. It covers both indicator-based and event-based surveillance.,TG Booklet 2,675 - 679,"Diseases, Alerts, Community Level, Priority Diseases, Event-based Surveillance"
Q1065,"What are the key symptoms of typhoid fever, and who is the most affected age group?","Key symptoms include high fever, malaise, headache, constipation or diarrhea, rose-colored spots, and enlarged spleen and liver. The most affected age group is children from 5–19 years old.",TG Booklet 6,289,"Typhoid Fever Symptoms, Affected Age Group"
Q1238,When should problems with reporting be addressed and solutions developed?,"Problems with reporting should be addressed as soon as they are identified through monitoring, and solutions should be developed immediately to correct poor performance and improve data quality and reporting.",TG Booklet 4,241-244,"Problem Addressing, Reporting Issues, Solution Development, Monitoring, Poor Performance Correction, Data Quality Improvement"
Q507,"In the context of the provided example in Annex 4J, what characteristics of the first case's illness could potentially lead to the spread of a respiratory illness within a community?","The severity of the student's symptoms, coupled with close contacts and healthcare interactions, creates conditions conducive to the spread of respiratory illness.",TG Booklet 3,476,"First Case Characteristics, Respiratory Illness Spread, Community, Severity Of Symptoms, Close Contacts"
Q527,Does the TG contain case definitions for Dracunculiasis (Guinea Worm Disease)?,"Yes, Page 57 of TG Booklet 6 Section 11",TG Booklet 6,30,"TG, Dracunculiasis, Case Definitions, Page 57, Booklet 6, Section 11"
Q264,What topics are addressed in Section 5 of the Integrated Disease Surveillance and Response Technical Guidelines?,"Section 5 of the guidelines addresses topics related to preparing to respond to outbreaks and other public health events. This includes establishing public health emergency operations centers, forming emergency management committees, creating rapid response teams, risk mapping, resource mapping, and developing emergency preparedness and response plans.",TG Booklet 3,53-74,"Section 5, Preparation, Response, Outbreaks, Public Health Events, Emergency Operations, Committees, Teams, Mapping, Plans"
Q791,What is the extent of the cumulative number of Buruli Ulcer cases in the WHO African Region?,"The cumulative number of Buruli Ulcer cases in the WHO African Region is around 90,000 in 2017, with the region being the most affected, representing 95% of global cases.",TG Booklet 6,148,BU Cases: WHO African Region
Q397,What channels of communication are described in Section 7 for reporting outbreak findings?,Section 7 describes various channels of communication during an outbreak for reporting findings.,TG Booklet 3,365,"Communication Channels, Reporting Outbreak Findings, Section 7"
Q63,Why is zero reporting important in disease surveillance?,Zero reporting is essential to communicate that no cases of an immediately reportable disease were diagnosed during the week. It ensures completeness in reporting and informs the staff at the next level that a thorough report has been filled.,TG Booklet 2,565,"Zero Reporting, Immediately Reportable Disease, Completeness, Reporting Sites"
Q995,How is HIV transmitted between humans?,"HIV is transmitted through sexual intercourse, needle injections, transfusions, trans-placental or trans-vaginal routes, breast milk, or direct contact with infected human body fluids.",TG Booklet 6,239,"HIV Transmission, Sexual Intercourse, Needle Injections, Transfusions, Trans-placental, Trans-vaginal, Breast Milk, Direct Contact, Infected Human Body Fluids"
Q152,How is data entered and cleaned at each level of data reception?,The IDSR focal person collaborates with the Assistant Statistician to extract priority IDSR diseases/events from the register and enters them into aggregated IDSR reporting forms. Data troubleshooting and cleaning are essential for accurate disease trends and maps.,TG Booklet 2,767,"Data Entry, Data Cleaning, IDSR Focal Person, Priority IDSR Diseases/events, Aggregated Reporting Forms, Troubleshooting"
Q937,What is the alert threshold for maternal deaths at a health facility?,The alert threshold for maternal deaths at a health facility is set at ONE (1). Every maternal death is considered significant.,TG Booklet 6,224,"Maternal Death Alert Threshold, Health Facility, Significance Of Each Death"
Q908,Who are the most vulnerable populations in terms of malnutrition?,Children under five and pregnant and lactating women.,TG Booklet 6,220,"Vulnerable Populations, Malnutrition, Children Under Five, Pregnant Women, Lactating Women"
Q567,Is there a Viral haemorrhagic fever case reporting form available in the TG?,"Yes, Page 254 of TG Booklet 6 Section 11",TG Booklet 6,81,"TG, Viral Haemorrhagic Fever Case Reporting Form, Page 254, Booklet 6, Section 11"
Q588,"Is there an abbreviation CHSS in the TG, and what does it stand for?","Yes, Community Health Services Supervisor",TG Booklet 6,106,"CHSS, Community Health Services Supervisor, TG Abbreviation"
Q169,What is the purpose of analyzing data by place?,"Analyzing data by place helps identify where cases are occurring, revealing high-risk areas or locations of populations at risk.",TG Booklet 2,782,"Place-based Analysis Purpose, Identifying Locations, High-risk Areas, Populations At Risk"
Q647,"Is UNICEF an abbreviation mentioned in the TG, and what does it stand for?",United Nations Children’s Emergency Fund,TG Booklet 6,106,United Nations Children’s Emergency Fund
Q917,How should data on malnutrition be analyzed and interpreted?,Time: Graph cases monthly to analyze trends and weekly in emergencies. Place: Plot location of households/community with cases. Person: Count monthly/weekly cases and analyze age and gender distribution.,TG Booklet 6,222,"Malnutrition Data Analysis, Interpretation, Time, Place, Person, Monthly Trends, Emergency Weekly Trends, Household/community Plotting, Age, Gender Distribution"
Q1094,Why does the IDSR strategy promote rational and efficient use of resources?,The IDSR strategy promotes rational and efficient use of resources by integrating and streamlining common surveillance activities and functions to improve detection and response to diseases and health events.,TG Booklet 1,102,"IDSR, Rational, Efficient, Resources, Integrating, Streamlining, Surveillance, Detection, Response"
Q1077,Which type of surveillance is case-based surveillance?,Case-based surveillance is the type used for diseases targeted for elimination or eradication or during confirmed outbreaks.,TG Booklet 1,82,"Case-based Surveillance, Disease Elimination, Disease Eradication, Confirmed Outbreaks"
Q814,"What is the goal of diabetes surveillance, and why is it important to estimate the magnitude of the disease?","The goal of diabetes surveillance is to estimate the magnitude of the disease, monitor trends and risk factors, and identify populations at the highest risk. Estimating the magnitude is crucial for planning and implementing effective prevention and control measures.",TG Booklet 6,165,Diabetes Surveillance Goal
Q874,"What is the surveillance goal for hypertension, and what actions are recommended?","The surveillance goal for hypertension is the prevention of secondary illness through early detection and standardized treatment, estimating disease burden, and reducing identified risk factors. Recommended actions include health promotion for non-communicable diseases, focusing on HBP, community-based education on behavior change and healthy lifestyles, and promoting secondary prevention and treatment interventions at health facilities according to national guidelines.",TG Booklet 6,188,"Hypertension Surveillance Goal, Secondary Illness Prevention, Early Detection, Standardized Treatment, Disease Burden Estimation, Risk Factor Reduction"
Q192,What could constitute common sources of infection in an outbreak?,"Common sources of infection in an outbreak could include factors identified through analyzing data by place, such as shared locations, contaminated water sources, or areas with specific characteristics contributing to disease transmission.",TG Booklet 2,813,"Common Sources Of Infection In An Outbreak, Shared Locations, Contaminated Water Sources"
Q715,What is the goal of surveillance for Anthrax?,The goal of surveillance for Anthrax is to detect outbreaks and monitor control and prevention programs.,TG Booklet 6,135,"Anthrax Surveillance Goal: Outbreak Detection, Control Monitoring"
